PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
93436,20181116,TSLA,TESLA INC,354.31000,0.016847,15
93436,20181119,TSLA,TESLA INC,353.47000,-0.002371,15
93436,20181120,TSLA,TESLA INC,347.48999,-0.016918,15
93436,20181121,TSLA,TESLA INC,338.19000,-0.026763,15
93436,20181123,TSLA,TESLA INC,325.82999,-0.036548,15
93436,20181126,TSLA,TESLA INC,346.00000,0.061903,15
93436,20181127,TSLA,TESLA INC,343.92001,-0.006012,15
93436,20181128,TSLA,TESLA INC,347.87000,0.011485,15
93436,20181129,TSLA,TESLA INC,341.17001,-0.019260,15
93436,20181130,TSLA,TESLA INC,350.48001,0.027288,15
93436,20181203,TSLA,TESLA INC,358.48999,0.022854,15
93436,20181204,TSLA,TESLA INC,359.70001,0.003375,15
93436,20181206,TSLA,TESLA INC,363.06000,0.009341,15
93436,20181207,TSLA,TESLA INC,357.96500,-0.014033,15
93436,20181210,TSLA,TESLA INC,365.14999,0.020072,15
93436,20181211,TSLA,TESLA INC,366.76001,0.004409,15
93436,20181212,TSLA,TESLA INC,366.60001,-0.000436,15
93436,20181213,TSLA,TESLA INC,376.79001,0.027796,15
93436,20181214,TSLA,TESLA INC,365.70999,-0.029406,15
93436,20181217,TSLA,TESLA INC,348.42001,-0.047278,15
93436,20181218,TSLA,TESLA INC,337.03000,-0.032690,15
93436,20181219,TSLA,TESLA INC,332.97000,-0.012046,15
93436,20181220,TSLA,TESLA INC,315.38000,-0.052828,15
93436,20181221,TSLA,TESLA INC,319.76999,0.013920,15
93436,20181224,TSLA,TESLA INC,295.39001,-0.076242,15
93436,20181226,TSLA,TESLA INC,326.09000,0.103930,15
93436,20181227,TSLA,TESLA INC,316.13000,-0.030544,15
93436,20181228,TSLA,TESLA INC,333.87000,0.056116,15
93436,20181231,TSLA,TESLA INC,332.79999,-0.003205,15
93436,20190102,TSLA,TESLA INC,310.12000,-0.068149,15
93436,20190103,TSLA,TESLA INC,300.35999,-0.031472,15
93436,20190104,TSLA,TESLA INC,317.69000,0.057697,15
93436,20190107,TSLA,TESLA INC,334.95999,0.054361,15
93436,20190108,TSLA,TESLA INC,335.35001,0.001164,15
93436,20190109,TSLA,TESLA INC,338.53000,0.009483,15
93436,20190110,TSLA,TESLA INC,344.97000,0.019023,15
93436,20190111,TSLA,TESLA INC,347.26001,0.006638,15
93436,20190114,TSLA,TESLA INC,334.39999,-0.037033,15
93436,20190115,TSLA,TESLA INC,344.42999,0.029994,15
93436,20190116,TSLA,TESLA INC,346.04999,0.004703,15
93436,20190117,TSLA,TESLA INC,347.31000,0.003641,15
93436,20190118,TSLA,TESLA INC,302.26001,-0.129711,15
93436,20190122,TSLA,TESLA INC,298.92001,-0.011050,15
93436,20190123,TSLA,TESLA INC,287.59000,-0.037903,15
93436,20190124,TSLA,TESLA INC,291.51001,0.013631,15
93436,20190125,TSLA,TESLA INC,297.04001,0.018970,15
93436,20190128,TSLA,TESLA INC,296.38000,-0.002222,15
93436,20190129,TSLA,TESLA INC,297.45999,0.003644,15
93436,20190130,TSLA,TESLA INC,308.76999,0.038022,15
93436,20190131,TSLA,TESLA INC,307.01999,-0.005668,15
93436,20190201,TSLA,TESLA INC,312.20999,0.016904,15
93436,20190204,TSLA,TESLA INC,312.89001,0.002178,15
93436,20190205,TSLA,TESLA INC,321.35001,0.027038,15
93436,20190206,TSLA,TESLA INC,317.22000,-0.012852,15
93436,20190207,TSLA,TESLA INC,307.51001,-0.030610,15
93436,20190208,TSLA,TESLA INC,305.79999,-0.005561,15
93436,20190211,TSLA,TESLA INC,312.84000,0.023022,15
93436,20190212,TSLA,TESLA INC,311.81000,-0.003292,15
93436,20190213,TSLA,TESLA INC,308.17001,-0.011674,15
93436,20190214,TSLA,TESLA INC,303.76999,-0.014278,15
93436,20190215,TSLA,TESLA INC,307.88000,0.013530,15
93436,20190219,TSLA,TESLA INC,305.64001,-0.007276,15
93436,20190220,TSLA,TESLA INC,302.56000,-0.010077,15
93436,20190221,TSLA,TESLA INC,291.23001,-0.037447,15
93436,20190222,TSLA,TESLA INC,294.70999,0.011949,15
93436,20190225,TSLA,TESLA INC,298.76999,0.013776,15
93436,20190226,TSLA,TESLA INC,297.85999,-0.003046,15
93436,20190227,TSLA,TESLA INC,314.73999,0.056671,15
93436,20190228,TSLA,TESLA INC,319.88000,0.016331,15
93436,20190301,TSLA,TESLA INC,294.79001,-0.078436,15
93436,20190304,TSLA,TESLA INC,285.35999,-0.031989,15
93436,20190305,TSLA,TESLA INC,276.54001,-0.030908,15
93436,20190306,TSLA,TESLA INC,276.23999,-0.001085,15
93436,20190307,TSLA,TESLA INC,276.59000,0.001267,15
93436,20190308,TSLA,TESLA INC,284.14001,0.027297,15
93436,20190311,TSLA,TESLA INC,290.92001,0.023861,15
93436,20190312,TSLA,TESLA INC,283.35999,-0.025987,15
93436,20190313,TSLA,TESLA INC,288.95999,0.019763,15
93436,20190314,TSLA,TESLA INC,289.95999,0.003461,15
93436,20190315,TSLA,TESLA INC,275.42999,-0.050110,15
93436,20190318,TSLA,TESLA INC,269.48999,-0.021566,15
93436,20190319,TSLA,TESLA INC,267.47000,-0.007496,15
93436,20190320,TSLA,TESLA INC,273.60001,0.022918,15
93436,20190321,TSLA,TESLA INC,274.01999,0.001535,15
93436,20190322,TSLA,TESLA INC,264.53000,-0.034632,15
93436,20190325,TSLA,TESLA INC,260.42001,-0.015537,15
93436,20190326,TSLA,TESLA INC,267.76999,0.028224,15
93436,20190327,TSLA,TESLA INC,274.82999,0.026366,15
93436,20190328,TSLA,TESLA INC,278.62000,0.013790,15
93436,20190329,TSLA,TESLA INC,279.85999,0.004450,15
93436,20190401,TSLA,TESLA INC,289.17999,0.033302,15
93436,20190402,TSLA,TESLA INC,285.88000,-0.011412,15
93436,20190403,TSLA,TESLA INC,291.81000,0.020743,15
93436,20190404,TSLA,TESLA INC,267.78000,-0.082348,15
93436,20190405,TSLA,TESLA INC,274.95999,0.026813,15
93436,20190408,TSLA,TESLA INC,273.20001,-0.006401,15
93436,20190409,TSLA,TESLA INC,272.31000,-0.003258,15
93436,20190410,TSLA,TESLA INC,276.06000,0.013771,15
93436,20190411,TSLA,TESLA INC,268.42001,-0.027675,15
93436,20190412,TSLA,TESLA INC,267.70001,-0.002682,15
93436,20190415,TSLA,TESLA INC,266.38000,-0.004931,15
93436,20190416,TSLA,TESLA INC,273.35999,0.026203,15
93436,20190417,TSLA,TESLA INC,271.23001,-0.007792,15
93436,20190418,TSLA,TESLA INC,273.26001,0.007484,15
93436,20190422,TSLA,TESLA INC,262.75000,-0.038462,15
93436,20190423,TSLA,TESLA INC,263.89999,0.004377,15
93436,20190424,TSLA,TESLA INC,258.66000,-0.019856,15
93436,20190425,TSLA,TESLA INC,247.63000,-0.042643,15
93436,20190426,TSLA,TESLA INC,235.14000,-0.050438,15
93436,20190429,TSLA,TESLA INC,241.47000,0.026920,15
93436,20190430,TSLA,TESLA INC,238.69000,-0.011513,15
93436,20190501,TSLA,TESLA INC,234.00999,-0.019607,15
93436,20190502,TSLA,TESLA INC,244.10001,0.043118,15
93436,20190503,TSLA,TESLA INC,255.03000,0.044777,15
93436,20190506,TSLA,TESLA INC,255.34000,0.001216,15
93436,20190507,TSLA,TESLA INC,247.06000,-0.032427,15
93436,20190508,TSLA,TESLA INC,244.84000,-0.008986,15
93436,20190509,TSLA,TESLA INC,241.98000,-0.011681,15
93436,20190510,TSLA,TESLA INC,239.52000,-0.010166,15
93436,20190513,TSLA,TESLA INC,227.00999,-0.052229,15
93436,20190514,TSLA,TESLA INC,232.31000,0.023347,15
93436,20190515,TSLA,TESLA INC,231.95000,-0.001550,15
93436,20190516,TSLA,TESLA INC,228.33000,-0.015607,15
93436,20190517,TSLA,TESLA INC,211.03000,-0.075768,15
93436,20190520,TSLA,TESLA INC,205.36000,-0.026868,15
93436,20190521,TSLA,TESLA INC,205.08000,-0.001363,15
93436,20190522,TSLA,TESLA INC,192.73000,-0.060220,15
93436,20190523,TSLA,TESLA INC,195.49001,0.014321,15
93436,20190524,TSLA,TESLA INC,190.63000,-0.024861,15
93436,20190528,TSLA,TESLA INC,188.70000,-0.010124,15
93436,20190529,TSLA,TESLA INC,189.86000,0.006147,15
93436,20190530,TSLA,TESLA INC,188.22000,-0.008638,15
93436,20190531,TSLA,TESLA INC,185.16000,-0.016258,15
93436,20190603,TSLA,TESLA INC,178.97000,-0.033431,15
93436,20190604,TSLA,TESLA INC,193.60001,0.081746,15
93436,20190605,TSLA,TESLA INC,196.59000,0.015444,15
93436,20190606,TSLA,TESLA INC,205.95000,0.047612,15
93436,20190607,TSLA,TESLA INC,204.50000,-0.007041,15
93436,20190610,TSLA,TESLA INC,212.88000,0.040978,15
93436,20190611,TSLA,TESLA INC,217.10001,0.019823,15
93436,20190612,TSLA,TESLA INC,209.25999,-0.036112,15
93436,20190613,TSLA,TESLA INC,213.91000,0.022221,15
93436,20190614,TSLA,TESLA INC,214.92000,0.004722,15
93436,20190617,TSLA,TESLA INC,225.03000,0.047041,15
93436,20190618,TSLA,TESLA INC,224.74001,-0.001289,15
93436,20190619,TSLA,TESLA INC,226.42999,0.007520,15
93436,20190620,TSLA,TESLA INC,219.62000,-0.030076,15
